business_id,city,state,lat,long,price,checkins
x5Mv61CnZLohZWxfCVCPTQ,Phoenix,AZ,33.4794817,-112.0736806,2,13
2ZnCITVa0abGce4gZ6RhIw,Phoenix,AZ,33.4685474,-112.0750849,1,116
EmzaQR5hQlF0WIl24NxAZA,Phoenix,AZ,33.4483992,-112.0717019,1,56
SiwN7f0N4bs4ZtPc4yPgiA,Phoenix,AZ,33.4558849,-112.0741767,2,51
KPoTixdjoJxSqRSEApSAGg,Phoenix,AZ,33.477939,-112.073417,2,993
OtDcALEX6-LfEOQE0QgHYw,Chandler,AZ,33.3190781,-111.9703877,2,83
7Z7IkR_-94AjUuDw0fbI7g,Phoenix,AZ,33.4660304,-112.067518,2,869
e5kc0CQ4R-PCCDgb274gSg,Phoenix,AZ,33.4521542,-112.0686202,2,771
72N6TdH5MdUWE2YhYRbyxw,Phoenix,AZ,33.47626,-112.074248,3,28
idzmPD7WYHoUjhLLKwtS8Q,Phoenix,AZ,33.4365057,-112.0657967,1,153
neGAQFkBNI8-rpPBLBzNkw,Phoenix,AZ,33.46544,-112.06909,1,78
45puCRQ6Vh_IIAy7kkfFDQ,Phoenix,AZ,33.4484654,-112.0712574,2,978
P7wKlbSRsoRrfH3DFOY08A,Phoenix,AZ,33.475583,-112.074115,1,168
BESmH-lmMm34_EefL8X9fQ,Phoenix,AZ,33.429424,-112.073929,2,808
D09yG6Z3gcsh24Qn7Y4gYA,Phoenix,AZ,33.4657117,-112.0657286,1,197
kaIue7GRCmkPzDeHDBTttQ,Phoenix,AZ,33.4640982988,-112.073569,1,430
j8nyAaN_w5t6wYv-ni23sg,Phoenix,AZ,33.443909,-112.070122,2,277
5XIvwfbIa-vuFEkkeCQ6kQ,Phoenix,AZ,33.4450359,-112.0706266,2,19
Y293fHh5SZ0_9BZm4M6BCg,Phoenix,AZ,33.4493093,-112.07194,2,60
IceZ4BtTz76eppjNWm-c6A,Phoenix,AZ,33.4547647,-112.0865171,1,22
QsvRjgQacMMFf8dit7qqDw,Phoenix,AZ,33.439268,-112.073481,2,17
LXhL5X3edNRy7epku6UAEw,Phoenix,AZ,33.4470733,-112.0709775,0,55
-lOSaCuBRAvX5JBifx-EMw,Phoenix,AZ,33.4521542,-112.0686202,2,288
XI-_Y2XRw03mozGx0Z90Gw,Phoenix,AZ,33.4487514,-112.0738147,1,82
qsWxbgQwuomXvMseg23DGg,Phoenix,AZ,33.4523351,-112.0696144,2,476
DlCtdbceo4YNSI53cCL2lg,Phoenix,AZ,33.46425,-112.074153,2,751
kR5i58Pcse1FD9tk-yYLlA,Phoenix,AZ,33.450875,-112.066333,1,46
2I666dqzs1XB6xigIKa9bA,Phoenix,AZ,33.448424817,-112.074802052,2,363
yExYqENb4F6qH6kJxTOaSQ,Phoenix,AZ,33.4458023,-112.0691069,1,27
9BH18avE46LlHMvJn67MaA,Phoenix,AZ,33.4499524,-112.0740511,1,97
trAvQPp7gps0Btk-2AmLpw,Phoenix,AZ,33.465499,-112.081565,1,514
VCQ3VvnVRhibTT8J61xWkw,Phoenix,AZ,33.4372015,-112.0656044,0,22
s6zzKc7UvwDRxn-BFlhiTg,Phoenix,AZ,33.4521542,-112.0686202,1,24
gkv2XvXpFgiq4Bb2XK7YmQ,Phoenix,AZ,33.4468850573,-112.071075886,2,569
If2DUhmWIvlu2JFc_rR-Bw,Phoenix,AZ,33.4484911,-112.0744277,1,25
xH5axHFadmc7Veutt376TA,Phoenix,AZ,33.4653345,-112.0655975,1,93
Vvh2Hd4SsZjEEfKLNKAEWw,Phoenix,AZ,33.479418,-112.0732961,0,37
sInUSy63Oh455uWs9p9OqQ,Phoenix,AZ,33.4771144,-112.0744197,1,40
wki-Qlp3OWgH0XtZ-Jz_WQ,Phoenix,AZ,33.4483756752,-112.072706876,1,202
OoHWabV-ym7_HWlHeXTsVA,Phoenix,AZ,33.4794824,-112.0740962,1,124
oSKT5oZX1NWYaHwOWL5lag,Phoenix,AZ,33.4794762,-112.0736809,2,133
QAe9UHKsxPdXQovBpaznMQ,Phoenix,AZ,33.476644,-112.0736968,1,37
q1nDSpmV-FdTBNj6UuZvTg,Phoenix,AZ,33.4796505,-112.0742162,2,560
muCl5p-9ut1sY0aKeUeRhw,Phoenix,AZ,33.4633319,-112.0741467,2,241
oCA2OZcd_Jo_ggVmUx3WVw,Phoenix,AZ,33.4448019849,-112.072117722,2,1321
eK6KGMKqU_4nB9RdayZD7Q,Phoenix,AZ,33.442472,-112.065825,2,142
jn3OgTqiQIFymRA9U0PTfQ,Phoenix,AZ,33.4453626,-112.0674961,2,47
1-1VcGTL3GyCqUpXZLFTZA,Phoenix,AZ,33.4453626,-112.0674961,2,436
