business_id,city,"attributes.Price Range",latitude,longitude,state
5UmKMjUEUNdYWqANhGckJw,Dravosburg,1,40.3543266,-79.9007057,PA
mVHrayjG3uZ_RLHkLj-AMg,rankin,1,40.4134643,-79.8802474,PA
KayYbHCt-RkbGcPdGOThNg,Carnegie,1,40.415517,-80.067534,PA
1_lU0-eSWJCRvNGk78Zh9Q,Carnegie,"",40.4068423,-80.0858661,PA
wJr6kSA5dchdgOdwH6dZ2w,Carnegie,1,40.3875124,-80.0932152,PA
yXuao0pFz1AxB21vJjDf5w,Carnegie,1,40.3875124,-80.0932152,PA
fNGIbpazjTRdXgwRY_NIXA,Carnegie,1,40.3964688,-80.0849416,PA
b9WZJp5L1RZr4F1nxclOoQ,Carnegie,1,40.3980741,-80.0833859,PA
zaXDakTd3RXyOa7sMrUE1g,Carnegie,1,40.404638,-80.089985,PA
WETE_LykpcnrC1sFcQ5EGg,Carnegie,2,40.40867,-80.085279,PA
rv7CY8G_XibTx82YhuqQRw,Carnegie,1,40.3868915,-80.0937037,PA
SQ0j7bgSTazkVQlF5AnqyQ,Carnegie,1,40.4083473,-80.0849615,PA
wqu7ILomIOPSduRwoWp4AQ,Pittsburgh,1,40.39114,-80.073788,PA
P1fJb2WQ1mXoiudj8UE44w,Carnegie,2,40.4081422,-80.0851737,PA
8QlnAcjGE6dgfKTVoxrPvQ,Pittsburgh,2,40.495167,-79.958717,PA
t_gan0EXAw8csKIeFyazJw,Homestead,1,40.4067047,-79.9105266,PA
3gmBc0qN_LtGbZAjTtHWZg,Homestead,2,40.407091,-79.916958,PA
sZ4uYs99km644ZMR1TO76A,Homestead,"",40.3846329,-79.9036345,PA
6ilJq_05xRgek_8qUp36-g,Munhall,1,40.413496,-79.9044562,PA
MKyk4F4HSzHF8v-4cYe3Ww,Homestead,2,40.4094353,-79.9152619,PA
1qCuOcks5HRv67OHovAVpg,Homestead,2,40.405311,-79.912595,PA
sbW8qHJgzEIH42B0S-3New,Homestead,2,40.4092932,-79.9141865,PA
W7ysp8GLCBrs0GXIVwAcBQ,Homestead,1,40.4097098,-79.9017997,PA
-taSf0shFSUKy9iCXnySsA,Homestead,"",40.3925524,-79.9000102,PA
McikHxxEqZ2X0joaRNKlaw,Homestead,2,40.4094353,-79.9152619,PA
eT5Ck7Gg1dBJobca9VFovw,Homestead,2,40.4111498,-79.908469,PA
EoAY1JSVeJriBzId8lUQwQ,"West Homestead",2,40.4070709,-79.917508,PA
TfvWSIAMFZ9zI3y2-K6wOA,Munhall,1,40.3868368,-79.9029475,PA
tU-YtoW339PXJmUGSix_AQ,Homestead,2,40.410874319,-79.9155451419,PA
6p9TlP2I8S4agxYMNFSDjg,Homestead,2,40.410967,-79.9141364,PA
JDDeaNfb0JXD1NbznSIC9g,"West Homestead",2,40.4073551,-79.9158429,PA
FiXamVMgMf9U0VqFHDZSEA,"West Homestead",1,40.407174,-79.916603,PA
uLnDFdn011hEroQQMLmxNQ,Munhall,1,40.3857182,-79.9032997,PA
eznh0XjVtv924K-KYx_ilQ,Homestead,1,40.4113236,-79.9132525,PA
usSROUMiAgPcxV3Ym0OxMQ,Pittsburgh/Waterfront,3,40.4088783792,-79.9180894261,PA
WaHXyBwljbKNPmmJZn5j8Q,"West Mifflin",2,40.3736775,-79.8737336,PA
bCw9HKDFLU_PppnNg-nIlw,"West Mifflin",2,40.3823673,-79.868392,PA
CL3tZqbYT7B5zgewKCS6-Q,"West Mifflin","",40.3849854,-79.8626605,PA
u22QDAON1kk0wjoTliyftw,"West Mifflin",1,40.389192,-79.868305,PA
53Yk2EODWnV9qHQECzeHVQ,"West Mifflin",1,40.3736775,-79.8737336,PA
iBZRphMDFcS2aMbawc1OvA,"West Mifflin",1,40.3736775,-79.8737336,PA
hnHt6EinzC-IX6y3GSF7jw,McKeesport,2,40.3520269,-79.8546832,PA
GJAv1nAfnHuab8oRyr8mXg,"McKees Rocks",1,40.4641404,-80.0579296,PA
r8BwdblCW-ZUES37BL0khw,"McKees Rocks",1,40.472505,-80.074153,PA
mIiHJkpK8nZvW_45LlhrbA,"Mc Kees Rocks",2,40.4660133,-80.0653055,PA
OZfpG8tDCcIEq8pzgZdyKw,"McKees Rocks",2,40.46562,-80.0656106,PA
OSYHPhvDWMqBRDZblqGiZA,"McKees Rocks",2,40.467816,-80.097642,PA
8Nm_jcCYtMXYW0ODSHDiXA,Pittsburgh,3,40.4400036,-80.0909106,PA
9tAbTDdYTASHL7EU1e-OWw,"Mc Kees Rocks",1,40.4736321,-80.0969955,PA
T49ZvBa6mD4xHSmjHe-ArA,Bellvue,1,40.4941577,-80.0532928,PA
eOv0Dbq2E8sd0CKMAqTImw,Bellevue,2,40.495887,-80.056877,PA
_jsJFrAmFVPRio0eEVExbA,Pittsburgh,1,40.492067,-80.06235,PA
Lml0-yTNsMYsP9IrSMxw9A,Bellevue,1,40.4972056,-80.0583585,PA
JX2gDf2uy2UGuKPpcKT-IA,Pittsburgh,1,40.4940896,-80.0635357,PA
QVZBd_eu0oJ4IN0md2XPTQ,Bellevue,4,40.4964326,-80.057809,PA
7wT532x2Qz5Hw9BqtBapqw,Bellevue,2,40.4961113,-80.0572126,PA
udZJ8YgsHdqtFDQkyPTV1Q,Pittsburgh,1,40.4876741,-80.055667,PA
oMoSc4tTay_THqF4Ke_WrQ,Bellevue,1,40.4977839,-80.0601298,PA
ucKQlQvOeJxETLNkpKcaSw,Bellevue,1,40.4966408,-80.057381,PA
Rjx8GcWuCzfVsKC5iPIcQA,Pittsburgh,1,40.4590742,-80.0769711,PA
s74Tq6WKV1b91UFRr7ch7g,Pittsburgh,2,40.4637827,-79.9319497,PA
