business_id,type,checkins
cE27W9VPgO88Qxe4ol6y_g,checkin,9
mVHrayjG3uZ_RLHkLj-AMg,checkin,23
KayYbHCt-RkbGcPdGOThNg,checkin,55
b12U9TFESStdy7CsTtcOeg,checkin,5
QoDa50dc7g62xciFygXB9w,checkin,5
1_lU0-eSWJCRvNGk78Zh9Q,checkin,4
_qopVQ6_Mz6W7-Pmbi56GQ,checkin,4
wJr6kSA5dchdgOdwH6dZ2w,checkin,15
yXuao0pFz1AxB21vJjDf5w,checkin,23
fNGIbpazjTRdXgwRY_NIXA,checkin,11
b9WZJp5L1RZr4F1nxclOoQ,checkin,108
zaXDakTd3RXyOa7sMrUE1g,checkin,15
zgy27FSnvwdINfk5cXBIyQ,checkin,7
WETE_LykpcnrC1sFcQ5EGg,checkin,7
SQ0j7bgSTazkVQlF5AnqyQ,checkin,5
wqu7ILomIOPSduRwoWp4AQ,checkin,38
P1fJb2WQ1mXoiudj8UE44w,checkin,86
8QlnAcjGE6dgfKTVoxrPvQ,checkin,5
t_gan0EXAw8csKIeFyazJw,checkin,3
3gmBc0qN_LtGbZAjTtHWZg,checkin,207
yHTLTr-QN-loO_7XoxS8qg,checkin,64
iQLLIdmJSt6LQHSjpZERLA,checkin,21
6ilJq_05xRgek_8qUp36-g,checkin,103
MKyk4F4HSzHF8v-4cYe3Ww,checkin,52
gClSqcwuLsgyZRCzhJc7Dg,checkin,135
1qCuOcks5HRv67OHovAVpg,checkin,57
sbW8qHJgzEIH42B0S-3New,checkin,238
W7ysp8GLCBrs0GXIVwAcBQ,checkin,9
McikHxxEqZ2X0joaRNKlaw,checkin,460
tv8cS4aaA1VDaInYgggb6g,checkin,140
eT5Ck7Gg1dBJobca9VFovw,checkin,192
HwwEfnZKLNOUoqfgcwAgcQ,checkin,139
EoAY1JSVeJriBzId8lUQwQ,checkin,216
uI0LvTXFACid1308KFO5ew,checkin,60
TfvWSIAMFZ9zI3y2-K6wOA,checkin,3
tU-YtoW339PXJmUGSix_AQ,checkin,121
6p9TlP2I8S4agxYMNFSDjg,checkin,128
Eu3Iwje0YY8ectr-CxMgqg,checkin,13
XhbC5Qj5nBcqcKLPRd8izQ,checkin,18
FituZ4jYzRe41ac9uvcHaQ,checkin,13
JDDeaNfb0JXD1NbznSIC9g,checkin,262
oPX8bpZ3dqviYQuic0Ahqw,checkin,16
FiXamVMgMf9U0VqFHDZSEA,checkin,112
ISKLP0qxApATxRlUDob6Cg,checkin,283
DMy5IG-dNrH4ARk96KngEA,checkin,12
rdATJvFQK4C73NIQ3zoY3w,checkin,42
g10zmpUzmMJOOIjj_JJPvg,checkin,64
eznh0XjVtv924K-KYx_ilQ,checkin,158
LQFWH1AKJlXGmEBlIKsBCw,checkin,62
LO2CjrNL8DXkvm9uALgRjQ,checkin,36
usSROUMiAgPcxV3Ym0OxMQ,checkin,164
qfL7ZFkxqDZOPIaVVfT3Aw,checkin,36
GlYPVYSOVT7zn00Kk_Oz4g,checkin,55
bCw9HKDFLU_PppnNg-nIlw,checkin,10
CL3tZqbYT7B5zgewKCS6-Q,checkin,4
u22QDAON1kk0wjoTliyftw,checkin,4
4ykgzzzGEWjMD5lwk1-l9A,checkin,3
53Yk2EODWnV9qHQECzeHVQ,checkin,3
hnHt6EinzC-IX6y3GSF7jw,checkin,6
LiMXTPwanF3LkkKHklFCjw,checkin,47
GJAv1nAfnHuab8oRyr8mXg,checkin,8
r8BwdblCW-ZUES37BL0khw,checkin,19
mIiHJkpK8nZvW_45LlhrbA,checkin,12
OZfpG8tDCcIEq8pzgZdyKw,checkin,27
OSYHPhvDWMqBRDZblqGiZA,checkin,7
8Nm_jcCYtMXYW0ODSHDiXA,checkin,9
9tAbTDdYTASHL7EU1e-OWw,checkin,11
T49ZvBa6mD4xHSmjHe-ArA,checkin,6
eOv0Dbq2E8sd0CKMAqTImw,checkin,9
_jsJFrAmFVPRio0eEVExbA,checkin,17
dEuJ4A6v1lUDKF8wWwxy_w,checkin,3
jTAKV9zLlAjouAKh4Wd7Yg,checkin,33
JX2gDf2uy2UGuKPpcKT-IA,checkin,4
jaT6pO-oUOuTBozfdB9NvA,checkin,21
7wT532x2Qz5Hw9BqtBapqw,checkin,26
udZJ8YgsHdqtFDQkyPTV1Q,checkin,3
oMoSc4tTay_THqF4Ke_WrQ,checkin,22
kKmvSJ6Z8UVPdrnL74bqrg,checkin,15
ucKQlQvOeJxETLNkpKcaSw,checkin,48
Rjx8GcWuCzfVsKC5iPIcQA,checkin,12
s74Tq6WKV1b91UFRr7ch7g,checkin,24
ZL6DNzyenFm9Kpz6uADlNg,checkin,43
G-PlXGCY3G4zNOUzD61ZDA,checkin,5
BG4N0V93wml9kaU6YYRxRA,checkin,120
rM-yscH8mBLYvpWnmvuPMw,checkin,7
OcTG-KzDleuRub-pb6JS3Q,checkin,4
Y2p07YEC8xOsYTHWf0UxiA,checkin,14
g58NW9q4F09wTMiI7EIjmg,checkin,17
Pu5uzlZ05pqVlx6LcZbfgw,checkin,9
w8N1BIB2MiP53PM7ouYPQQ,checkin,14
VkFDer80GOrelWALdgNReg,checkin,234
vXBc-i30S0eypUVy7TA6cw,checkin,24
UFhcxnTzfLO-ROftyP_ukw,checkin,7
